"05/09/2021, 08:00:00",3875.73000000,3880.00000000,3870.15000000,3879.56000000,1190.83130000,4616731.62298600
"05/09/2021, 08:05:00",3879.57000000,3885.00000000,3876.63000000,3882.65000000,1649.10120000,6401149.86223800
"05/09/2021, 08:10:00",3882.66000000,3886.00000000,3877.17000000,3882.78000000,647.22260000,2512786.91702500
"05/09/2021, 08:15:00",3882.79000000,3886.40000000,3880.00000000,3884.52000000,684.76790000,2659752.32916600
"05/09/2021, 08:20:00",3884.51000000,3888.92000000,3883.44000000,3884.62000000,1261.33430000,4902374.92741300
"05/09/2021, 08:25:00",3884.62000000,3886.49000000,3878.58000000,3878.58000000,712.34570000,2764964.38071100
"05/09/2021, 08:30:00",3878.58000000,3883.46000000,3878.57000000,3880.13000000,412.14680000,1599626.20729400
"05/09/2021, 08:35:00",3880.12000000,3880.47000000,3876.24000000,3878.32000000,789.62420000,3062347.57404900
"05/09/2021, 08:40:00",3878.32000000,3885.78000000,3874.35000000,3874.62000000,964.77400000,3744398.32844100
"05/09/2021, 08:45:00",3874.62000000,3875.31000000,3870.40000000,3871.01000000,740.38940000,2867057.64056500
"05/09/2021, 08:50:00",3871.01000000,3872.19000000,3862.01000000,3866.09000000,863.49540000,3338607.78230400
"05/09/2021, 08:55:00",3866.08000000,3871.75000000,3863.31000000,3870.71000000,889.40830000,3439310.75280800
"05/09/2021, 09:00:00",3870.63000000,3871.11000000,3860.83000000,3865.42000000,1440.99590000,5569709.31901300
"05/09/2021, 09:05:00",3865.43000000,3876.73000000,3865.42000000,3873.68000000,765.34220000,2964459.72620600
"05/09/2021, 09:10:00",3873.67000000,3882.76000000,3873.43000000,3880.87000000,744.93430000,2890796.25354600
"05/09/2021, 09:15:00",3880.87000000,3884.69000000,3872.31000000,3872.60000000,825.56770000,3202308.90154000
"05/09/2021, 09:20:00",3872.61000000,3877.01000000,3869.63000000,3872.81000000,634.07470000,2455468.93305100
"05/09/2021, 09:25:00",3872.80000000,3881.04000000,3871.63000000,3878.00000000,412.06540000,1597817.05008600
"05/09/2021, 09:30:00",3877.99000000,3881.69000000,3877.01000000,3877.14000000,487.65100000,1891894.31393200
"05/09/2021, 09:35:00",3877.13000000,3888.45000000,3877.02000000,3887.61000000,1038.78570000,4035229.33214000
"05/09/2021, 09:40:00",3887.61000000,3896.94000000,3886.00000000,3893.71000000,2128.82890000,8286455.12758400
"05/09/2021, 09:45:00",3893.72000000,3904.05000000,3885.41000000,3901.50000000,2021.62090000,7876938.71840200
"05/09/2021, 09:50:00",3901.51000000,3913.07000000,3898.99000000,3909.91000000,2834.34840000,11072993.29752300
"05/09/2021, 09:55:00",3909.90000000,3921.75000000,3909.34000000,3918.01000000,4096.42290000,16050329.39983100
"05/09/2021, 10:00:00",3918.01000000,3930.00000000,3918.01000000,3923.93000000,4556.82990000,17888064.89663900
"05/09/2021, 10:05:00",3923.93000000,3925.75000000,3914.61000000,3921.24000000,1522.66730000,5969330.13245900
"05/09/2021, 10:10:00",3921.24000000,3921.42000000,3915.39000000,3917.92000000,1260.78430000,4940809.04224600
"05/09/2021, 10:15:00",3917.99000000,3918.41000000,3908.96000000,3917.06000000,1366.46810000,5345797.08839500
"05/09/2021, 10:20:00",3917.02000000,3917.87000000,3909.40000000,3912.40000000,1383.67640000,5414309.90725400
"05/09/2021, 10:25:00",3912.38000000,3916.46000000,3910.52000000,3914.99000000,953.51970000,3731092.10975700
"05/09/2021, 10:30:00",3915.00000000,3919.00000000,3909.05000000,3914.17000000,1478.59200000,5786800.80303100
"05/09/2021, 10:35:00",3914.17000000,3921.28000000,3913.87000000,3919.67000000,722.02510000,2828213.83661800
"05/09/2021, 10:40:00",3919.66000000,3921.43000000,3910.91000000,3912.20000000,1179.29470000,4618573.29177300
"05/09/2021, 10:45:00",3912.20000000,3921.00000000,3911.96000000,3915.77000000,1971.92020000,7726701.85751800
"05/09/2021, 10:50:00",3915.78000000,3928.00000000,3915.77000000,3927.01000000,1257.61270000,4935164.25845100
"05/09/2021, 10:55:00",3927.00000000,3930.00000000,3924.27000000,3928.35000000,1542.43360000,6058815.86765000
"05/09/2021, 11:00:00",3928.20000000,3934.01000000,3925.50000000,3930.20000000,2552.61790000,10033283.57958200
"05/09/2021, 11:05:00",3930.20000000,3947.13000000,3929.04000000,3938.27000000,4289.31980000,16900619.57721000
"05/09/2021, 11:10:00",3938.15000000,3941.01000000,3935.00000000,3938.16000000,1529.68290000,6023661.17479200
"05/09/2021, 11:15:00",3938.36000000,3950.00000000,3938.35000000,3949.53000000,2557.84480000,10095169.37912800
"05/09/2021, 11:20:00",3949.52000000,3955.18000000,3943.09000000,3944.22000000,7393.94420000,29206827.70407100
"05/09/2021, 11:25:00",3944.22000000,3944.24000000,3935.09000000,3935.50000000,1438.09160000,5666027.40647600
"05/09/2021, 11:30:00",3935.51000000,3942.31000000,3922.61000000,3929.10000000,2305.50350000,9063855.92373700
"05/09/2021, 11:35:00",3929.11000000,3933.52000000,3920.87000000,3927.89000000,1768.89410000,6945154.18658600
"05/09/2021, 11:40:00",3927.88000000,3932.87000000,3921.84000000,3928.43000000,995.21970000,3908852.02838500
"05/09/2021, 11:45:00",3928.21000000,3929.41000000,3910.12000000,3921.24000000,1652.75030000,6476201.25322100
"05/09/2021, 11:50:00",3921.24000000,3926.23000000,3917.22000000,3924.72000000,1010.73960000,3964247.32609200
"05/09/2021, 11:55:00",3924.60000000,3925.70000000,3919.00000000,3920.09000000,584.46040000,2291941.54091500
"05/09/2021, 12:00:00",3920.09000000,3926.69000000,3914.15000000,3919.70000000,1221.18120000,4785592.06639500
"05/09/2021, 12:05:00",3919.69000000,3927.89000000,3915.00000000,3923.13000000,1981.72370000,7771572.11979700
"05/09/2021, 12:10:00",3923.12000000,3929.91000000,3923.12000000,3928.42000000,911.12510000,3576968.25910700
"05/09/2021, 12:15:00",3928.42000000,3939.00000000,3926.16000000,3932.98000000,2130.69190000,8383138.12927700
"05/09/2021, 12:20:00",3932.50000000,3936.73000000,3907.21000000,3910.00000000,1994.83000000,7819944.90694500
"05/09/2021, 12:25:00",3910.00000000,3916.87000000,3908.94000000,3916.76000000,1303.19830000,5099282.91942900
"05/09/2021, 12:30:00",3916.77000000,3923.87000000,3914.21000000,3917.22000000,1191.45010000,4668944.46614200
"05/09/2021, 12:35:00",3917.22000000,3919.93000000,3910.18000000,3919.93000000,1122.93100000,4395160.78418700
"05/09/2021, 12:40:00",3919.93000000,3924.96000000,3918.69000000,3919.65000000,1294.20750000,5074635.06510100
"05/09/2021, 12:45:00",3919.64000000,3921.94000000,3913.74000000,3918.81000000,877.43360000,3437298.72606900
"05/09/2021, 12:50:00",3918.81000000,3925.55000000,3916.15000000,3922.52000000,718.67610000,2818361.73278100
"05/09/2021, 12:55:00",3922.66000000,3924.82000000,3916.10000000,3924.56000000,2055.51830000,8057478.99507300
"05/09/2021, 13:00:00",3924.56000000,3929.82000000,3919.25000000,3922.43000000,1016.73150000,3990919.77398300